NET_ODA,POP,GNP_PCAP,INF_MORT,RIGHTS_REV,RIGHTS_INV,country,year
-1.6751510578082696,-0.647282272884115,0.2766898299990136,0.014203646044067236,-0.6452712325139165,-0.4773291357782934,Algeria,1984
-1.4345789910044189,-0.6361026946678175,0.3362573456775394,0.004419203714986985,-0.6600863182990571,-0.4850750091313439,Algeria,1985
-1.6253073175692532,-0.6268977727415787,0.4246298726799424,-0.006146383876481684,-0.6788173550051204,-0.5058210406146535,Algeria,1986
-1.3949819267828723,-0.6204342893160327,0.4980287483197636,-0.018617333004666694,-0.6890738551723095,-0.5322613417203128,Algeria,1987
-1.6487537857900072,-0.6145973712098236,0.5288177827720235,-0.03334636319057385,-0.40546510810816444,-0.4420734668819349,Algeria,1988
-1.831834161205495,-0.6065823727461881,0.4724408482008454,-0.04305090669970316,-0.18637835748956907,-0.36977877447950674,Algeria,1989
-2.933319270801137,-0.3013148065138776,0.04784825757016619,-0.8747505316663373,0.6540117516163442,0.6212831528898164,Argentina,1984
-3.2523698470142333,-0.3080417870261358,0.16696528917391862,-0.8743964169926218,0.6391966658312037,0.6135372795367658,Argentina,1985
-2.5657733861466587,-0.3150403635865475,0.2635105235365908,-0.874235013932759,0.7074770061147702,0.8804733205052371,Argentina,1986
-2.462849884919912,-0.32342249606625445,0.35212946408707196,-0.875337104633489,0.6972205059475812,0.8540330193995778,Argentina,1987
-2.0490059870372117,-0.33212820561900286,0.4199070910976349,-0.8779952154062007,0.6931471805599453,0.8572095172483257,Argentina,1988
-1.7569540990702748,-0.34126232814618096,0.44466128409376965,-0.8796680610756314,0.6890903798643309,0.8341940298464292,Argentina,1989
-0.9213359603622071,0.8849584207126576,-2.4714078722324717,0.39787800867108625,-0.35758916006213565,-0.3903177587886636,Bangladesh,1984
-1.069626876916217,0.8949084380020379,-2.4867622301891337,0.4066970581289723,-0.14926069453306645,-0.3027534523373892,Bangladesh,1985
-0.9698386331065147,0.894449248500695,-2.430650565404952,0.4156456175191114,0.014329825554824868,-0.21813896816287257,Bangladesh,1986
-0.8841279133652076,0.9021337655758048,-2.327565511260013,0.4236720194375494,0.004073325387635869,-0.24457926926853196,Bangladesh,1987
-0.9413100198245261,0.9090416727263637,-2.2839677385940944,0.43050442382898435,0,-0.2414027714197838,Bangladesh,1988
-0.8934886440518831,0.9151635907684763,-2.267421180536379,0.44039858931584314,0.1500938791316439,-0.14663522316529704,Bangladesh,1989
